69;(69);Alvin;222;(251);;Mohamed;479;(410);21;(35)
70;(75);Frans;219;(222);;Neo ;139;(130);100;(Ny)
71;(77);Aron;209;(213);;Nicolas;165;(198);92;(79)
71;(66);Felix;209;(256);;Nils ;487;(551);20;(16)
73;(63);Kevin;205;(265);;Noah;654;(627);9;(10)
74;(70);Milton ;203;(245);;Noel;282;(289);55;(54)
75;(72);Hjalmar;200;(229);;Oliver ;765;(700);5;(5)
76;(85);Ivar;199;(185);;Olle ;388;(414);32;(34)
76;(89);Samuel ;199;(175);;Omar;180;(151);83;(96)
78;(80);Julian;193;(192);;Oscar;896;(879);2;(1)
79;(82);Vilgot;192;(189);;Otto;256;(225);62;(74)
80;(78);Kian;188;(200);;Sam;296;(288);53;(56)
81;(86);Elvin;186;(180);;Samuel ;199;(175);76;(89)
82;(84);Elis;185;(187);;Sebastian;177;(154);87;(95)
83;(89);Ali;180;(175);;Sigge;258;(276);61;(61)
83;(96);Omar;180;(151);;Simon ;166;(192);91;(80)
85;(87);John;179;(179);;Sixten ;356;(359);39;(39)
85;(71);Ville;179;(234);;Tage;240;(258);66;(65)
87;(95);Sebastian;177;(154);;Theo ;462;(429);23;(31)
88;(76);Jonathan;173;(216);;Theodor;454;(475);24;(25)
89;(91);Daniel ;172;(172);;Thor;145;(165);96;(92)
89;(87);Joel;172;(179);;Walter;538;(476);14;(24)
91;(80);Simon ;166;(192);;Vidar;320;(320);48;(46)
92;(79);Nicolas;165;(198);;Vide;141;(138);98;(Ny)
93;(96);Folke;158;(151);;Viggo ;359;(389);38;(36)
94;(83);David ;157;(188);;Viktor;392;(471);31;(27)
94;(93);Maximilian;157;(163);;Vilgot;192;(189);79;(82)
96;(92);Thor;145;(165);;Wilhelm;235;(228);68;(73)
97;(98);Milian;142;(142);;Ville;179;(234);85;(71)
98;(Ny);Levi;141;(126);;William;941;(850);1;(3)
98;(Ny);Vide;141;(138);;Wilmer ;269;(289);56;(54)
100;(Ny);Neo ;139;(130);;Vincent;448;(537);28;(19)
